%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1432198025727899313,890,0,Camera,0.0406743147459,-0.0439592022719,0.558461951416
1432198026032758214,891,0,Camera,0.0395085222393,-0.0372797327951,0.569059974545
1432198026292836149,892,0,Camera,0.0400327069954,-0.0388041633475,0.567257896555
1432198026634785914,893,0,Camera,0.0416149626871,-0.0463554517055,0.566411493627
1432198026899305372,894,0,Camera,0.0438391635621,-0.046586121752,0.552613144939
1432198027231596636,895,0,Camera,0.0441784502645,-0.0419601153944,0.561758909802
1432198027488673045,896,0,Camera,0.0471781191289,-0.0429830846973,0.547449676105
1432198027797655007,897,0,Camera,0.0504765197581,-0.0453232957383,0.53790258337
1432198028081308861,898,0,Camera,0.0499876924043,-0.0460213692153,0.536883063184
1432198028480991647,899,0,Camera,0.0505765985348,-0.045101197008,0.538586197879
1432198028940557279,900,0,Camera,0.0531616543493,-0.0437462000738,0.535288700036
1432198029227609875,901,0,Camera,0.0536710454353,-0.0532892411287,0.518298803504
1432198029531781892,902,0,Camera,0.0489738816822,-0.0497621962494,0.535735054236
1432198029897934103,903,0,Camera,0.0471464438849,-0.0429076096028,0.547851946765
1432198030311514061,904,0,Camera,0.0515462998124,-0.0508302392873,0.52743161573
1432198030586948270,905,0,Camera,0.0508384055605,-0.0438221007595,0.540882141114
1432198030950867201,906,0,Camera,0.0505785754996,-0.0413941566543,0.541867696798
1432198031436450406,907,0,Camera,0.0532045150146,-0.0471037817243,0.532244407742
1432198031686331961,908,0,Camera,0.0535730721303,-0.0461205686927,0.532944511074
1432198031952775285,909,0,Camera,0.051978347952,-0.043750677411,0.537013657137
1432198032180561911,910,0,Camera,0.0510841697313,-0.0450505353805,0.538781270794
1432198032447558965,911,0,Camera,0.0510010003801,-0.0462835936034,0.53489658738
1432198032785638831,912,0,Camera,0.0507637365011,-0.0413044943696,0.540525066972
1432198033152989044,913,0,Camera,0.0492412367728,-0.0363777174192,0.550336390495
1432198033485419553,914,0,Camera,0.0498032588528,-0.0411632818005,0.543197775487
1432198033794354730,915,0,Camera,0.0507859411782,-0.0423905477413,0.540503531782
1432198034135990276,916,0,Camera,0.0517035656832,-0.0417716526431,0.537830750388
1432198034399621626,917,0,Camera,0.0514044349343,-0.0411206117768,0.540728967445
1432198034885528670,918,0,Camera,0.0525775095013,-0.0380793239687,0.541815556745
1432198035196737971,919,0,Camera,0.0533232629929,-0.0405163616223,0.537122203691
1432198035440374152,920,0,Camera,0.0513321383617,-0.0401625821178,0.542405124748
1432198035703836972,921,0,Camera,0.0516894241777,-0.0363640486019,0.545271835223
1432198035933700165,922,0,Camera,0.0523013677099,-0.0344598699937,0.543955926929
1432198036199049155,923,0,Camera,0.0518930427425,-0.0347065461791,0.544587953566
1432198036486249126,924,0,Camera,0.05210110726,-0.0342445525642,0.544915206552
1432198036734838432,925,0,Camera,0.052565589547,-0.0339765176885,0.543777076059
