time,ball-x,ball-y,ball-z,kalman-x,kalman-y,kalman-z,cam-desired-pos-x,cam-desired-pos-y,cam-desired-pos-z,cam-desired-orient-x,cam-desired-orient-y,cam-desired-orient-z,cam-desired-orient-w,cam-real-pos-x,cam-real-pos-y,cam-real-pos-z,cam-real-orient-x,cam-real-orient-y,cam-real-orient-z,cam-real-orient-w,q-real-0,q-real-1,q-real-2,q-real-3,q-real-4,q-real-5,q-real-6,q-desired-0,q-desired-1,q-desired-2,q-desired-3,q-desired-4,q-desired-5,q-desired-6,ball-kalman-error
5.4,0.00657522,0.00770752,0.450209,0.000722974,0.030791,0.456505,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19129,-0.570764,-0.0722408,1.78584,-0.0415897,-1.21654,1.02373,0.0246320005
5.6,0.00657522,0.00770752,0.450209,-0.000978447,0.0315905,0.458245,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19129,-0.570764,-0.0722408,1.78584,-0.0415897,-1.21654,1.02373,0.0263064995
5.8,0.00657522,0.00770752,0.450209,-0.0026794,0.0323896,0.459985,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19129,-0.570764,-0.0722408,1.78584,-0.0415897,-1.21654,1.02373,0.0281144667
6,-0.0020767,0.0140647,0.454837,-0.00437684,0.0331869,0.461722,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19129,-0.570764,-0.0722408,1.78584,-0.0415897,-1.21654,1.02373,0.0204536648
6.2,-0.0020767,0.0140647,0.454837,0.0048904,0.00664452,0.45249,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19129,-0.570764,-0.0722408,1.78584,-0.0415897,-1.21654,1.02373,0.0104454757
6.4,-0.0020767,0.0140647,0.454837,0.00358599,0.00506536,0.453583,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19129,-0.570764,-0.0722408,1.78584,-0.0415897,-1.21654,1.02373,0.0107063857
6.6,-0.0020767,0.0140647,0.454837,0.00236802,0.00357738,0.454638,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19129,-0.570764,-0.0722408,1.78584,-0.0415897,-1.21654,1.02373,0.0113920594
6.8,-0.0020767,0.0140647,0.454837,-0.00353739,0.0127218,0.45472,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19129,-0.570764,-0.0722408,1.78584,-0.0415897,-1.21654,1.02373,0.0019876329
7,-0.00430178,-0.0138909,0.454523,-0.00500977,0.0124931,0.455628,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19129,-0.570764,-0.0722408,1.78584,-0.0415897,-1.21654,1.02373,0.0264166185
7.2,-0.00430178,-0.0138909,0.454523,-0.00648212,0.0122643,0.456536,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19129,-0.570764,-0.0722408,1.78584,-0.0415897,-1.21654,1.02373,0.026323004
7.4,-0.00430178,-0.0138909,0.454523,-0.00797638,0.012038,0.45745,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19129,-0.570764,-0.0722408,1.78584,-0.0415897,-1.21654,1.02373,0.0263510506
7.6,-0.00716669,-0.0138906,0.458909,-0.0094443,0.0118088,0.458357,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19129,-0.570764,-0.0722408,1.78584,-0.0415897,-1.21654,1.02373,0.0258060336
7.8,-0.00716669,-0.0138906,0.458909,-0.00523305,-0.0153867,0.456156,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19129,-0.570764,-0.0722408,1.78584,-0.0415897,-1.21654,1.02373,0.0036818865
8,-0.00716669,-0.0138906,0.458909,-0.00649352,-0.018584,0.456849,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18924,-0.511454,-0.0654084,1.78536,-0.03345,-1.27497,1.01735,0.0051695997
8.2,-0.00716669,-0.0138906,0.458909,-0.00767724,-0.0216244,0.457534,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18924,-0.511454,-0.0654084,1.78536,-0.03345,-1.27497,1.01735,0.0078716548
8.4,-0.00716669,-0.0138906,0.458909,-0.00886876,-0.0171093,0.459656,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18924,-0.511454,-0.0654084,1.78536,-0.03345,-1.27497,1.01735,0.0037168644
8.6,-0.0168674,-0.00396556,0.479109,-0.010054,-0.0192648,0.460466,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18924,-0.511454,-0.0654084,1.78536,-0.03345,-1.27497,1.01735,0.025060938
8.8,-0.0168674,-0.00396556,0.479109,-0.0112389,-0.0214197,0.461275,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18924,-0.511454,-0.0654084,1.78536,-0.03345,-1.27497,1.01735,0.0255808243
9,-0.0168674,-0.00396556,0.479109,-0.0124284,-0.0235808,0.462086,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18924,-0.511454,-0.0654084,1.78536,-0.03345,-1.27497,1.01735,0.0263485273
9.2,-0.0168674,-0.00396556,0.479109,-0.0136608,-0.0257975,0.462905,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18924,-0.511454,-0.0654084,1.78536,-0.03345,-1.27497,1.01735,0.0273767329
