ball_x,ball_y,ball_z,kalman_x,kalman_y,kalman_z,cam_desired_pos_x,cam_desired_pos_y,cam_desired_pos_z,cam_desired_orient_x,cam_desired_orient_y,cam_desired_orient_z,cam_desired_orient_w,cam_real_pos_x,cam_real_pos_y,cam_real_pos_z,cam_real_orient_x,cam_real_orient_y,cam_real_orient_z,cam_real_orient_w
0.138958,-0.0387093,0.359103,0.127608,-0.0449166,0.262879,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.138958,-0.0387093,0.359103,0.127608,-0.0449166,0.262879,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.138958,-0.0387093,0.359103,0.13974,-0.0382813,0.365738,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.138958,-0.0387093,0.359103,0.14054,-0.0378442,0.372515,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.138958,-0.0387093,0.359103,0.141343,-0.0374049,0.379325,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.138958,-0.0387093,0.359103,0.142137,-0.0369706,0.386057,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.128526,-0.0264135,0.367484,0.142931,-0.0365365,0.392786,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.128526,-0.0264135,0.367484,0.143768,-0.0360786,0.399884,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.128526,-0.0264135,0.367484,0.144564,-0.0356434,0.406631,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.128526,-0.0264135,0.367484,0.126907,-0.0245407,0.368596,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.127027,-0.018092,0.395119,0.125169,-0.0226352,0.369223,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.127027,-0.018092,0.395119,0.123454,-0.0207552,0.369839,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.127027,-0.018092,0.395119,0.125923,-0.0157445,0.400109,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.120422,-0.0138273,0.409149,0.125161,-0.0131415,0.407521,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.120422,-0.0138273,0.409149,0.124397,-0.0105303,0.414957,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.117569,-0.0244622,0.395728,0.119033,-0.0117579,0.415609,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.117569,-0.0244622,0.395728,0.117243,-0.0100238,0.421474,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.116642,-0.0157747,0.414888,0.115798,-0.0241362,0.399105,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.116642,-0.0157747,0.414888,0.113828,-0.0268067,0.397643,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.117656,-0.0148483,0.414799,0.115257,-0.0168442,0.415485,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.117656,-0.0148483,0.414799,0.114323,-0.0160801,0.41899,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.117656,-0.0148483,0.414799,0.117039,-0.013985,0.417863,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.118335,-0.0154716,0.410896,0.117042,-0.0128849,0.420165,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.118335,-0.0154716,0.410896,0.117043,-0.0118052,0.422423,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.123675,-0.00341734,0.412734,0.117043,-0.0107328,0.424666,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.123675,-0.00341734,0.412734,0.11855,-0.0151851,0.410855,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.123675,-0.00341734,0.412734,0.118888,-0.015132,0.410013,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.128292,0.017485,0.425696,0.124634,-0.00184525,0.41225,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.128292,0.017485,0.425696,0.126263,0.00139387,0.412087,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.128292,0.017485,0.425696,0.130159,0.0224887,0.427003,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
