ball_x,ball_y,ball_z,kalman_x,kalman_y,kalman_z,cam_desired_pos_x,cam_desired_pos_y,cam_desired_pos_z,cam_desired_orient_x,cam_desired_orient_y,cam_desired_orient_z,cam_desired_orient_w,cam_real_pos_x,cam_real_pos_y,cam_real_pos_z,cam_real_orient_x,cam_real_orient_y,cam_real_orient_z,cam_real_orient_w,q_real_0,q_real_1,q_real_2,q_real_3,q_real_4,q_real_5,q_real_6,q_desired_0,q_desired_1,q_desired_2,q_desired_3,q_desired_4,q_desired_5,q_desired_6
0.174524,0.0550438,0.44184,0.148716,0.0719642,0.498125,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.16467,-0.928534,0.0192898,1.72752,0.0254334,-0.733243,0.944618,1.16565,-0.993855,0.019848,1.72486,0.0249116,-0.731249,0.944751
0.174524,0.0550438,0.44184,0.151605,0.0781981,0.502721,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.16467,-0.928534,0.0192898,1.72752,0.0254334,-0.733243,0.944618,1.52861,-0.438746,-0.594923,1.55848,-0.258367,-1.19937,1.25644
0.174524,0.0550438,0.44184,0.1545,0.0844498,0.507315,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.42826,-0.603644,-0.414236,1.60284,-0.184883,-1.07902,1.17564,1.52861,-0.438746,-0.594923,1.55848,-0.258367,-1.19937,1.25644
0.174524,0.0550438,0.44184,0.175783,0.0573562,0.445541,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.42826,-0.603644,-0.414236,1.60284,-0.184883,-1.07902,1.17564,1.52861,-0.438746,-0.594923,1.55848,-0.258367,-1.19937,1.25644
0.213814,0.128386,0.66309,0.179925,0.058908,0.442982,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.42826,-0.603644,-0.414236,1.60284,-0.184883,-1.07902,1.17564,1.52861,-0.438746,-0.594923,1.55848,-0.258367,-1.19937,1.25644
0.213814,0.128386,0.66309,0.184025,0.0604331,0.440534,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.42826,-0.603644,-0.414236,1.60284,-0.184883,-1.07902,1.17564,1.52861,-0.438746,-0.594923,1.55848,-0.258367,-1.19937,1.25644
0.213814,0.128386,0.66309,0.188018,0.0618924,0.438352,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.42826,-0.603644,-0.414236,1.60284,-0.184883,-1.07902,1.17564,1.52861,-0.438746,-0.594923,1.55848,-0.258367,-1.19937,1.25644
0.213814,0.128386,0.66309,0.192133,0.0634268,0.435865,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.42826,-0.603644,-0.414236,1.60284,-0.184883,-1.07902,1.17564,1.52861,-0.438746,-0.594923,1.55848,-0.258367,-1.19937,1.25644
0.0978563,0.0653173,0.441698,0.223092,0.13626,0.678912,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.42826,-0.603644,-0.414236,1.60284,-0.184883,-1.07902,1.17564,1.52861,-0.438746,-0.594923,1.55848,-0.258367,-1.19937,1.25644
0.0978563,0.0653173,0.441698,0.229106,0.146949,0.703032,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.42826,-0.603644,-0.414236,1.60284,-0.184883,-1.07902,1.17564,1.52861,-0.438746,-0.594923,1.55848,-0.258367,-1.19937,1.25644
